"date","new_graves_best_ipol","new_graves_excess","new_graves_ocha"
2017-08-31,10,0,NA
2017-09-01,11,1,NA
2017-09-02,8,-2,NA
2017-09-03,10,0,NA
2017-09-04,10,0,NA
2017-09-05,10,0,NA
2017-09-06,9,-1,NA
2017-09-07,10,0,NA
2017-09-08,10,0,NA
2017-09-09,9,-1,NA
2017-09-10,10,0,NA
2017-09-11,9,-1,NA
2017-09-12,10,0,NA
2017-09-13,10,0,NA
2017-09-14,11,1,NA
2017-09-15,9,-1,NA
2017-09-16,8,-2,NA
2017-09-17,11,1,NA
2017-09-18,10,0,NA
2017-09-19,10,0,NA
2017-09-20,9,-1,NA
2017-09-21,10,0,NA
2017-09-22,9,-1,NA
2017-09-23,11,1,NA
2017-09-24,9,-1,NA
2017-09-25,9,-1,NA
2017-09-26,10,0,NA
2017-09-27,10,0,NA
2017-09-28,10,0,NA
2017-09-29,8,-2,NA
2017-09-30,12,2,NA
2017-10-01,9,-1,NA
2017-10-02,9,-1,NA
2017-10-03,10,0,NA
2017-10-04,8,-2,NA
2017-10-05,11,1,NA
2017-10-06,11,1,NA
2017-10-07,8,-2,NA
2017-10-08,10,0,NA
2017-10-09,10,0,NA
2017-10-10,9,-1,NA
2017-10-11,11,1,NA
2017-10-12,10,0,NA
2017-10-13,9,-1,NA
2017-10-14,10,0,NA
2017-10-15,9,-1,NA
2017-10-16,9,-1,NA
2017-10-17,11,1,NA
2017-10-18,9,-1,NA
2017-10-19,11,1,NA
2017-10-20,8,-2,NA
2017-10-21,10,0,NA
2017-10-22,10,0,NA
2017-10-23,9,-1,NA
2017-10-24,11,1,NA
2017-10-25,9,-1,NA
2017-10-26,9,-1,NA
2017-10-27,10,0,NA
2017-10-28,11,1,NA
2017-10-29,8,-2,NA
2017-10-30,10,0,NA
2017-10-31,10,0,NA
2017-11-01,9,-1,NA
2017-11-02,11,1,NA
2017-11-03,9,-1,NA
2017-11-04,10,0,NA
2017-11-05,10,0,NA
2017-11-06,9,-1,NA
2017-11-07,10,0,NA
2017-11-08,9,-1,NA
2017-11-09,11,1,NA
2017-11-10,10,0,NA
2017-11-11,8,-2,NA
2017-11-12,10,0,NA
2017-11-13,10,0,NA
2017-11-14,9,-1,NA
2017-11-15,11,1,NA
2017-11-16,10,0,NA
2017-11-17,8,-2,NA
2017-11-18,11,1,NA
2017-11-19,9,-1,NA
2017-11-20,8,-2,NA
2017-11-21,12,2,NA
2017-11-22,9,-1,NA
2017-11-23,10,0,NA
2017-11-24,9,-1,NA
2017-11-25,10,0,NA
2017-11-26,9,-1,NA
2017-11-27,10,0,NA
2017-11-28,11,1,NA
2017-11-29,8,-2,NA
2017-11-30,10,0,NA
2017-12-01,10,0,NA
2017-12-02,11,1,NA
2017-12-03,8,-2,NA
2017-12-04,10,0,NA
2017-12-05,11,1,NA
2017-12-06,8,-2,NA
2017-12-07,10,0,NA
2017-12-08,10,0,NA
2017-12-09,10,0,NA
2017-12-10,10,0,NA
2017-12-11,9,-1,NA
2017-12-12,9,-1,NA
2017-12-13,10,0,NA
2017-12-14,11,1,NA
