cemetery,time_base,date,graves_best
Barakaat 2,222,2016-08-16,0
Barakaat 2,223,2016-08-17,0
Barakaat 2,224,2016-08-18,0
Barakaat 2,225,2016-08-19,0
Barakaat 2,226,2016-08-20,0
Barakaat 2,227,2016-08-21,0
Barakaat 2,228,2016-08-22,0
Barakaat 2,229,2016-08-23,0
Barakaat 2,230,2016-08-24,0
Barakaat 2,231,2016-08-25,0
Barakaat 2,232,2016-08-26,0
Barakaat 2,233,2016-08-27,0
Barakaat 2,234,2016-08-28,0
Barakaat 2,235,2016-08-29,0
Barakaat 2,236,2016-08-30,0
Barakaat 2,237,2016-08-31,0
Barakaat 2,238,2016-09-01,0
Barakaat 2,239,2016-09-02,0
Barakaat 2,240,2016-09-03,0
Barakaat 2,241,2016-09-04,0
Barakaat 2,242,2016-09-05,0
Barakaat 2,243,2016-09-06,0
Barakaat 2,244,2016-09-07,0
Barakaat 2,245,2016-09-08,0
Barakaat 2,246,2016-09-09,0
Barakaat 2,247,2016-09-10,0
Barakaat 2,248,2016-09-11,0
Barakaat 2,249,2016-09-12,0
Barakaat 2,250,2016-09-13,0
Barakaat 2,251,2016-09-14,0
Barakaat 2,252,2016-09-15,0
Barakaat 2,253,2016-09-16,0
Barakaat 2,254,2016-09-17,0
Barakaat 2,255,2016-09-18,0
Barakaat 2,256,2016-09-19,0
Barakaat 2,257,2016-09-20,0
Barakaat 2,258,2016-09-21,0
Barakaat 2,259,2016-09-22,0
Barakaat 2,260,2016-09-23,0
Barakaat 2,261,2016-09-24,0
Barakaat 2,262,2016-09-25,0
Barakaat 2,263,2016-09-26,0
Barakaat 2,264,2016-09-27,0
Barakaat 2,265,2016-09-28,0
Barakaat 2,266,2016-09-29,0
Barakaat 2,267,2016-09-30,0
Barakaat 2,268,2016-10-01,0
Barakaat 2,269,2016-10-02,0
Barakaat 2,270,2016-10-03,0
Kahda,270,2016-10-03,0
Barakaat 2,271,2016-10-04,0
Barakaat 2,272,2016-10-05,0
Barakaat 2,273,2016-10-06,0
Barakaat 2,274,2016-10-07,0
Barakaat 2,275,2016-10-08,0
Barakaat 2,276,2016-10-09,0
Barakaat 2,277,2016-10-10,0
Barakaat 2,278,2016-10-11,0
Barakaat 2,279,2016-10-12,0
Barakaat 2,280,2016-10-13,0
Barakaat 2,281,2016-10-14,0
Barakaat 2,282,2016-10-15,0
Barakaat 2,283,2016-10-16,0
Barakaat 2,284,2016-10-17,0
