"date","new_area_ipol","new_area_index","new_area_excess"
2017-02-02,65,55.301188868608,0
2017-02-03,65,55.301188868608,0
2017-02-04,64,55.301188868608,0
2017-02-05,66,55.301188868608,0
2017-02-06,63,49.1566123276515,-6.14457654095644
2017-02-07,65,55.301188868608,0
2017-02-08,66,55.301188868608,0
2017-02-09,64,43.0120357866951,-12.2891530819129
2017-02-10,63,61.4457654095644,6.14457654095644
2017-02-11,65,55.301188868608,0
2017-02-12,65,55.301188868608,0
2017-02-13,64,49.1566123276515,-6.14457654095644
2017-02-14,65,61.4457654095644,6.14457654095644
2017-02-15,65,49.1566123276515,-6.14457654095644
2017-02-16,64,55.301188868608,0
2017-02-17,65,55.301188868608,0
2017-02-18,65,49.1566123276515,-6.14457654095644
2017-02-19,65,55.301188868608,0
2017-02-20,62,55.301188868608,0
