STATE,REGION,DISTRICT,ADM1_VIZ_N,ADM2_VIZ_N,REGION CODE,DISRICT CODE,REG-DIST,Total Pop,Positivity,Attack rate per 100K,Number of Cases,Total Tested,Increase or decrease from mean
Galmudug State,MUDUG GM,HARA DHERE,Mudug GM,Hara Dhere,MDG,HRD,MDG-HRD,"69,298",,0,0,,9
Galmudug State,MUDUG GM,HOBYO,Mudug GM,Hobyo,MDG,HOB,MDG-HOB,"159,017",,0,0,,9
Somaliland,SOOL,HUDUN,Sool,Hudun,SOL,HDN,SOL-HDN,"81,097",,0,0,,9
Puntland,BARI,ISKUSHUBAN,Bari,Iskushuban,BRI,ISH,BRI-ISH,"50,903",,0,0,,9
Hir-Shabelle State,HIRAN,JALALAQSI,Hiran,Jalalaqsi,HRN,JLX,HRN-JLX,"54,157",0,0,0,9,9
Jubaland State,LOWER JUBA,JAMAAME EAST,Lower Juba,Jamaame East,LJB,JME,LJB-JME,"85,715",,0,0,,9
Jubaland State,LOWER JUBA,JAMAAME WEST,Lower Juba,Jamaame West,LJB,JMW,LJB-JMW,"285,701",,0,0,,9
Puntland,MUDUG PL,JARIBAN,Mudug PL,Jariban,MUD,JIR,MUD-JIR,"163,358",,0,0,,9
Jubaland State,MIDDLE JUBA,JILIB EAST,Middle Juba,Jilib East,MJB,JBE,MJB-JBE,"114,035",,0,0,,9
Jubaland State,LOWER JUBA,JILIB WEST,Lower Juba,Jilib West,LJB,JBE,LJB-JBE,"28,895",,0,0,,9
South West State,LOWER SHABELLE,KURTUNWAAREY,Lower Shabelle,Kurtunwaarey,LSH,KRT,LSH-KRT,"64,468",,0,0,,9
Somaliland,AWDAL,LUGHAYA,Awdal,Lughaya,AWL,LUH,AWL-LUH,"60,868",,0,0,,9
Hir-Shabelle State,MIDDLE SHABELLE,MAHADAY,Middle Shabelle,Mahaday,MSH,MDY,MSH-MDY,"95,533",,0,0,,9
Hir-Shabelle State,HIRAN,MAHAS,Hiran,Mahas,HRN,MAH,HRN-MAH,"44,738",,0,0,,9
Hir-Shabelle State,HIRAN,MATABAN,Hiran,Mataban,HRN,MTB,HRN-MTB,"59,508",,0,0,,9
Somaliland,TOGDHER,OWDWEYNE,Togdher,Owdweyne,TOG,OWD,TOG-OWD,"82,889",,0,0,,9
Puntland,BARI,QANDALA,Bari,Qandala,BRI,QAN,BRI-QAN,"54,490",,0,0,,9
South West State,BAY,QANSAH DERE,Bay,Qansah Dere,BAY,QSD,BAY-QSD,"115,329",,0,0,,9
South West State,LOWER SHABELLE,QORYOLEY,Lower Shabelle,Qoryoley,LSH,QRO,LSH-QRO,"126,546",,0,0,,9
South West State,BAKOL,RABDURE,Bakol,Rabdure,BKL,RBD,BKL-RBD,"75,638",,0,0,,9
Hir-Shabelle State,MIDDLE SHABELLE,RAGA ELLE,Middle Shabelle,Raga Elle,MSH,RGE,MSH-RGE,"33,995",,0,0,,9
Puntland,KARKAR,RAKO,Karkar,Rako,KRK,RKO,KRK-RKO,"30,833",,0,0,,9
Hir-Shabelle State,MIDDLE SHABELLE,RUNINGOD,Middle Shabelle,Runingod,MSH,RNG,MSH-RNG,"44,340",,0,0,,9
South West State,LOWER SHABELLE,SABLALE,Lower Shabelle,Sablale,LSH,SBL,LSH-SBL,"63,295",,0,0,,9
Jubaland State,MIDDLE JUBA,SAKOW,Middle Juba,Sakow,MJB,SKO,MJB-SKO,"94,645",,0,0,,9
Jubaland State,MIDDLE JUBA,SALAGLE,Middle Juba,Salagle,MJB,SLG,MJB-SLG,"40,465",,0,0,,9
Somaliland,SAHIL,SHEIKH,Sahil,Sheikh,SAH,SKH,SAH-SKH,"122,616",,0,0,,9
Somaliland,SOOL,TALEH,Sool,Taleh,SOL,TEL,SOL-TEL,"78,538",,0,0,,9
South West State,BAKOL,TIEGLO,Bakol,Tieglo,BKL,TGL,BKL-TGL,"84,970",,0,0,,9
Puntland,BARI,UFEYN,Bari,Ufeyn,BRI,UFN,BRI-UFN,"25,436",,0,0,,9
South West State,BAKOL,WAJID,Bakol,Wajid,BKL,WJD,BKL-WJD,"75,798",,0,0,,9
Hir-Shabelle State,MIDDLE SHABELLE,WARSHEIKH,Middle Shabelle,Warsheikh,MSH,WRS,MSH-WRS,"35,195",,0,0,,9
